ID,Start time,Completion time,Email,Name,How many hours a week do you currently work and/or attend class?,How many people do you currently live with?,How many hours a week do you currently spend on making or fixing things as a hobby?,Do you have pets? How many?,Do you feel like you decide how your day goes?,How many hours a week do you currently spend studying outside of class?,How many hours a week do you currently spend socializing with your social inner circle?,Do you currently work from home?,How many hours a week do you currently spend exercising?,"At the end of the week, do you feel like you have more or less things on your To-do list?",Do you feel that the quarantine has made you more or less connected to others?,How old are you?,"How many hours a week do you currently spend socializing with people who aren't in your inner circle, outside of work/class?",How do you feel going throughout your day?,How many hours a night do you sleep?,"Do you feel that the quarantine has resulted in spending more or less time talking with your boss, teachers, and work peers?",Do you feel like you decide what’s on your To-do list?,How many hours a day do you spend outside?,"Do you currently feel like you are more rested, or overworked?",How many hours a week do you spend reading something you enjoy?,.,How many hours a week are accounted for?,What is the average Outlook score?,What was the completion time?
45,5/13/20 14:15:05,5/13/20 14:17:25,anonymous,,40,1,20,2,7,8,1,Yes,0,No Change,0,39,0,6,8,Less,7,1,3,0,,18.9,4.6,0:02:20
46,5/13/20 14:18:34,5/13/20 14:20:01,anonymous,,40,3,0,1,10,0,4,Yes,3,No Change,5,31,1,8,7,Less,10,1,5,3,,15.3,7.6,0:01:27
47,5/13/20 14:21:39,5/13/20 14:23:21,anonymous,,45,1,0,0,0,45,2,Yes,0,More,0,46,0,0,4,Less,10,3,5,18,,22.7,3,0:01:42
48,5/13/20 14:24:57,5/13/20 14:27:40,anonymous,,60,3,12,3,3,3,2,Yes,0,No Change,3,48,0,8,8,No Change,3,1,8,4,,20.6,5,0:02:43
49,5/13/20 14:40:46,5/13/20 14:45:21,anonymous,,40,2,5,10,5,2,3,No,1,More,8,35,0,4,6,Less,5,1,5,0,,14.3,5.4,0:04:35
50,5/13/20 14:48:55,5/13/20 14:53:43,anonymous,,40,5,0,3,1,5,14,Yes,2,No Change,4,34,0,3,6,Less,2,10,7,1,,24.9,3.4,0:04:48
51,5/13/20 15:03:13,5/13/20 15:04:58,anonymous,,40,2,0,1,7,0,1,Yes,2,More,7,35,0,3,7,Less,7,1,4,2,,14.4,5.6,0:01:45
52,5/13/20 15:05:02,5/13/20 15:06:59,anonymous,,52,1,2,2,7,1,0,No,0,No Change,4,29,0,4,7,More,5,0,6,0,,14.9,5.2,0:01:57
53,5/13/20 15:06:27,5/13/20 15:09:58,anonymous,,70,1,2,0,7,5,1,Yes,1,No Change,4,24,0,6,7,No Change,6,0,4,2,,18.6,5.4,0:03:31
54,5/13/20 15:11:42,5/13/20 15:14:49,anonymous,,40,0,8,0,9,0,5,Yes,2,No Change,7,26,0,6,9,Less,2,0,5,0,,16.9,5.8,0:03:07
55,5/13/20 15:33:50,5/13/20 15:36:55,anonymous,,56,3,5,1,8,0,0,No,4,No Change,1,28,0,7,7,More,9,3,5,2,,19.6,6,0:03:05
56,5/13/20 15:37:17,5/13/20 15:41:36,anonymous,,40,5,10,3,4,1,10,Yes,0,No Change,5,25,1,2,6,No Change,9,1,1,1,,16.0,4.2,0:04:19
57,5/13/20 15:43:28,5/13/20 15:46:09,anonymous,,40,1,0,2,5,2,1,No,0,More,5,27,0,3,6,No Change,6,0,8,1,,12.3,5.4,0:02:41
58,5/13/20 15:48:36,5/13/20 15:50:45,anonymous,,40,1,10,1,8,0,4,Yes,2,More,4,27,0,3,7,No Change,7,3,7,1,,18.1,5.8,0:02:09
59,5/13/20 14:47:44,5/13/20 16:02:48,anonymous,,35,5,2,1,4,5,1,No,1,No Change,3,27,0,7,8,Less,7,0.5,5,2,,15.1,5.2,1:15:04
60,5/13/20 16:27:14,5/13/20 16:29:49,anonymous,,60,1,5,1,6,6,4,Yes,7,Less,6,30,5,7,8,Less,5,1,9,1,,21.6,6.6,0:02:35
61,5/13/20 16:51:26,5/13/20 16:53:08,anonymous,,60,5,3,2,5,5,1,Yes,0,Less,7,42,1,6,6,More,6,0,6,5,,16.7,6,0:01:42
62,5/13/20 16:53:48,5/13/20 16:56:36,anonymous,,40,1,5,1,7,1,30,Yes,0,Less,6,26,4,6,6,Less,7,1,6,10,,19.9,6.4,0:02:48
63,5/13/20 17:15:28,5/13/20 17:17:25,anonymous,,48,1,0,2,0,0,10,Yes,0,More,0,26,2,2,4,Less,2,1,6,0,,13.6,2,0:01:57
64,5/13/20 17:22:21,5/13/20 17:24:32,anonymous,,15,1,15,1,7,15,2,No,1,Less,7,32,2,6,8,Less,6,0,3,5,,15.9,5.8,0:02:11
65,5/13/20 17:27:56,5/13/20 17:30:00,anonymous,,40,1,0,0,8,0,10,Yes,6,No Change,5,31,0,8,6,No Change,5,2,6,2,,16.3,6.4,0:02:04
66,5/13/20 17:26:11,5/13/20 17:32:08,anonymous,,40,2,5,1,5,2,3,Yes,5,No Change,4,40,0,9,7,More,6,3,1,5,,18.6,5,0:05:57
67,5/13/20 17:31:44,5/13/20 17:34:31,anonymous,,12,3,2,1,6,8,2,No,5,No Change,7,34,4,5,7,Less,6,1,5,4,,13.3,5.8,0:02:47
68,5/13/20 17:39:23,5/13/20 17:42:53,anonymous,,60,1,5,0,5,5,1,Yes,5,More,2,33,1,3,8,Less,3,1,7,3,,20.4,4,0:03:30
69,5/13/20 19:19:07,5/13/20 19:26:20,anonymous,,12,2,5,2,3,4,1,No,1,Less,0,32,2,3,6,Less,10,2,5,3,,12.0,4.2,0:07:13
70,5/13/20 19:47:06,5/13/20 19:55:01,anonymous,,8,2,5,2,5,3,5,Yes,4,More,1,36,0,2,8,Less,6,1,6,6,,13.4,4,0:07:55
71,5/13/20 19:49:29,5/13/20 19:56:42,anonymous,,12.5,3,0,1,7,8,3,No,0,No Change,3,59,0,6,9,Less,5,4,5,20,,19.2,5.2,0:07:13
72,5/13/20 20:25:19,5/13/20 20:27:19,anonymous,,40,4,1,2,10,10,20,Yes,10,More,10,34,3,10,8,More,10,24,1,5,,44.7,8.2,0:02:00
73,5/14/20 2:54:24,5/14/20 2:57:55,anonymous,,18,4,5,10,6,20,4,No,0,No Change,4,42,1,5,6,Less,6,4,5,5,,17.6,5.2,0:03:31
74,5/14/20 8:56:30,5/14/20 8:58:25,anonymous,,40,1,10,1,3,0,1,Yes,10,No Change,2,33,0,2,7,Less,2,2,6,0,,17.7,3,0:01:55
75,5/14/20 9:28:45,5/14/20 9:32:36,anonymous,,30,1,8,1,7,10,1,No,1,More,4,30,1,7,7,Less,7,1,5,1,,15.4,6,0:03:51
76,5/14/20 18:02:11,5/14/20 18:05:05,anonymous,,10,1,0,1,7,6,0,Yes,2,No Change,5,29,0,6,7,No Change,7,1,8,1,,10.7,6.6,0:02:54
77,5/14/20 21:33:54,5/14/20 21:36:35,anonymous,,12,2,0,2,9,14,3,Yes,12,More,2,39,0,5,7,Less,6,1,6,7,,14.9,5.6,0:02:41
78,5/15/20 0:07:04,5/15/20 0:09:20,anonymous,,0,2,2,3,8,0,7,Yes,3,Less,3,18,2,6,8,Less,8,2,3,2,,12.3,5.6,0:02:16
79,5/15/20 7:20:30,5/15/20 7:23:33,anonymous,,30,1,10,2,4,0,10,Yes,0,No Change,2,27,1,3,6,No Change,6,1,3,0,,14.3,3.6,0:03:03
80,5/15/20 20:22:47,5/15/20 20:24:47,anonymous,,40,0,5,1,6,0,3,Yes,6,Less,0,36,3,3,8,Less,7,2,5,3,,18.6,4.2,0:02:00
81,5/17/20 0:31:05,5/17/20 0:33:57,anonymous,,30,2,10,1,7,1,30,No,4,No Change,5,32,5,4,6,More,6,0.5,7,2,,18.2,5.8,0:02:52
82,5/17/20 6:48:48,5/17/20 6:52:04,anonymous,,45,0,7,1,10,1,10,Yes,7,No Change,5,28,2,7,8,More,10,2,0,21,,23.3,6.4,0:03:16
83,5/28/20 19:11:20,5/28/20 19:33:01,anonymous,,51.5,2,24,4,8,14,3,Yes,5,No Change,5,47,0,7,5,More,8,8,8,8,,28.1,7.2,0:21:41
84,6/4/20 19:07:53,6/4/20 19:09:36,anonymous,,50,5,8,0,8,15,1,Yes,5,More,3,31,0,8,8,More,10,4,3,8,,24.4,6.4,0:01:43
85,6/4/20 20:39:52,6/4/20 20:43:23,anonymous,,40,3,0,10,5,0,3,Yes,2,No Change,7,38,0,3,7,More,3,1,7,10,,15.9,5,0:03:31
86,6/4/20 21:18:16,6/4/20 21:23:12,anonymous,,40,0,0,0,6,2,2,Yes,8,More,3,41,2,5,7,More,4,8,7,1,,22.9,5,0:04:56
87,6/4/20 21:27:45,6/4/20 21:29:28,anonymous,,45,1,1,2,6,0,2,No,0,More,2,37,0,4,6,More,6,2,6,10,,16.3,4.8,0:01:43
88,6/5/20 8:12:38,6/5/20 8:14:53,anonymous,,40,1,2,10,7,0,5,Yes,3,No Change,4,32,0,5,8,More,6,2,4,5,,17.9,5.2,0:02:15
89,6/5/20 13:37:01,6/5/20 13:49:22,anonymous,,40,1,4,5,5,0,5,Yes,0,No Change,5,25,0,5,8,No Change,4,2,6,3,,17.4,5,0:12:21
90,6/5/20 14:13:54,6/5/20 14:20:08,anonymous,,0,5,20,2,5,10,7,No,2,Less,3,58,2,4,6,Less,3,2,5,4,,14.4,4,0:06:14
